r y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19
2.828282828282828287e+00 1.832311542251699801e-02 5.182295271014908389e-02 -1.282468518385107004e-01 -2.198362569825384472e-01 3.114032315720549060e-01 3.289978526673909554e-01 -2.258206034187690836e-01 -3.442176926039495349e-02 -1.771433539596246887e-01 -2.548469234403124561e-01 1.451988935300370098e-01 -6.498966075754013250e-02 2.202386613339340493e-01 1.752642867918017544e-01 3.288281625829369420e-02 1.968258670200237204e-01 -1.639330093941229194e-01 3.101956855766524468e-02 -1.931770470915851190e-01 -1.433462422178264362e-01
2.898989898989898784e+00 1.496454986637517533e-02 4.338207890555226959e-02 -1.107996586780036208e-01 -1.964519502608287616e-01 2.919062936587488721e-01 3.281707337168743299e-01 -2.573637612564794175e-01 -8.884327994689916741e-02 -1.285858756768831490e-01 -2.461712793049044556e-01 1.905672356360783581e-01 8.151806144314488467e-04 1.896024631261906679e-01 2.085050093986438868e-01 -3.885964274431309012e-02 1.552094753812229833e-01 -1.979412388091447983e-01 -4.494365390512696651e-02 -1.545108392442578193e-01 -1.842837304608814508e-01
2.969696969696969724e+00 1.216064883271965498e-02 3.611344198807655420e-02 -9.508533040459858643e-02 -1.741329471935348927e-01 2.705752030280575982e-01 3.217372045296134075e-01 -2.810610406404884243e-01 -1.387004678797326696e-01 -7.511186106149145281e-02 -2.238126957578700782e-01 2.221312867586508200e-01 6.499402893562955530e-02 1.433342347002780348e-01 2.210568496053744447e-01 -1.047888045507882199e-01 9.675711703377963546e-02 -2.063785944159291508e-01 -1.130704773722403383e-01 -9.445024307775187755e-02 -1.959663569640074932e-01
3.040404040404040220e+00 9.832831254694900797e-03 2.989577987538550446e-02 -8.106241866945697316e-02 -1.531358000900158167e-01 2.481627547498297115e-01 3.105846055417352813e-01 -2.970306572735849637e-01 -1.825724468257258204e-01 -1.948365477589074704e-02 -1.897898814455640237e-01 2.385755492292124247e-01 1.228757900909672879e-01 8.605723403270541805e-02 2.126548127068097482e-01 -1.583181723258721973e-01 2.873701005167872413e-02 -1.892088821150083866e-01 -1.646636369828437529e-01 -2.232755305158763692e-02 -1.776806953216739648e-01
3.111111111111111160e+00 7.910959733930246832e-03 2.461187472778298899e-02 -6.865931719695017588e-02 -1.336395682472535928e-01 2.253327337351956339e-01 2.956265944960138614e-01 -3.056720028795605892e-01 -2.194696413892653908e-01 3.572521705929666141e-02 -1.465940062363454977e-01 2.396860296165835291e-01 1.706052079258508769e-01 2.299936679003967976e-02 1.849944438851404693e-01 -1.945336520760827248e-01 -4.092964354545178957e-02 -1.495133410721360134e-01 -1.936397102263387182e-01 5.129821027369674269e-02 -1.332345682428058287e-01
3.181818181818181657e+00 6.332985753131171319e-03 2.015040921450826986e-02 -5.778195265666787733e-02 -1.157542698535142661e-01 2.026518674128877651e-01 2.777632941724009208e-01 -3.076058546916715652e-01 -2.488228816536917076e-01 8.824872975738347336e-02 -9.698021376141367778e-02 2.262469527665535440e-01 2.053580011643772185e-01 -4.050730648755139496e-02 1.414099018329434965e-01 -2.105688670202901236e-01 -1.046010391604265399e-01 -9.289870139154463025e-02 -1.971477311976344848e-01 1.161973771514010489e-01 -7.011536940155495279e-02
3.252525252525252597e+00 5.044482238137983597e-03 1.640730586545889602e-02 -4.832069441517276853e-02 -9.953021006477399957e-02 1.805871100621088965e-01 2.578487656750564905e-01 -3.036132482794216547e-01 -2.704512971059591653e-01 1.362115884282493750e-01 -4.376922533092807155e-02 1.998771442632239215e-01 2.254487889093357844e-01 -9.948229630568369841e-02 8.642755427790448086e-02 -2.057310588508565741e-01 -1.557330734260385652e-01 -2.664716111139703650e-02 -1.757167378404085878e-01 1.638605479276990795e-01 1.837396057729666788e-03
3.323232323232323093e+00 3.998097975452355977e-03 1.328660842347298074e-02 -4.015638860356390838e-02 -8.496764800256363659e-02 1.595073975344537542e-01 2.366661170224908795e-01 -2.945765626277536131e-01 -2.845143077391129038e-01 1.781770093225905904e-01 1.032838956233216032e-02 1.628270117438694320e-01 2.303365308404854428e-01 -1.496714613628441215e-01 2.525329237717514538e-02 -1.813912065803552909e-01 -1.895015023554609546e-01 4.126169913496010450e-02 -1.329563257218511207e-01 1.885432855406469488e-01 7.200637899058552616e-02
3.393939393939393590e+00 3.152964035675716575e-03 1.070096884835394606e-02 -3.316547569207100449e-02 -7.202635325514757103e-02 1.396889532417317781e-01 2.149100904297599757e-01 -2.814256115719996898e-01 -2.914531369470648170e-01 2.131615299139283382e-01 6.285633583926034107e-02 1.177571877784619886e-01 2.205405431337628952e-01 -1.878171627603567317e-01 -3.674883155862292833e-02 -1.406761837172932350e-01 -2.031781925564244973e-01 1.031252088211593171e-01 -7.489133408571214956e-02 1.878507584938841901e-01 1.305641476007100288e-01
3.464646464646464530e+00 2.474077790013023189e-03 8.571804868428959528e-03 -2.722419564302872019e-02 -6.063469521190439915e-02 1.213232288692375344e-01 1.931766009404190521e-01 -2.650907403838143050e-01 -2.919270044095162442e-01 2.406211914973171995e-01 1.117199271823976492e-01 6.751820239416470026e-02 1.974860496030311496e-01 -2.118131749222837701e-01 -9.453561027018718421e-02 -8.801753829685642072e-02 -1.962459498586291429e-01 1.523714858466946598e-01 -9.051345983349258495e-03 1.628247238005290642e-01 1.698067416679344410e-01
3.535353535353535026e+00 1.931685560178560482e-03 6.829191374368647274e-03 -2.221192030880150478e-02 -5.069800030487090631e-02 1.045266143665535830e-01 1.719584291185078384e-01 -2.464641519905019229e-01 -2.867485875272723361e-01 2.604146643455856336e-01 1.552549979208126540e-01 1.494748208470899307e-02 1.633015055518615699e-01 -2.207459135223907576e-01 -1.437812697531374861e-01 -2.861991202951458257e-02 -1.702681274399680256e-01 1.842043891647167919e-01 5.654554944339120620e-02 1.175682197869831191e-01 1.850823781767922394e-01
3.606060606060605966e+00 1.500680589728425277e-03 5.411545156899472825e-03 -1.801367921848482517e-02 -4.210599829290968127e-02 8.935113877133123161e-02 1.516460987397540705e-01 -2.263699823058044069e-01 -2.768225639003684124e-01 2.727494889691023383e-01 1.922598346829307303e-01 -3.730397226468356447e-02 1.205906967893756593e-01 -2.148337465496208687e-01 -1.811651130700858425e-01 3.208756260837473950e-02 -1.285548907293870835e-01 1.959866863014654570e-01 1.143772429420970016e-01 5.850292963369212867e-02 1.752208054646221813e-01
